,Rating,Description,no_contract,rating_description_str,tokenized,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
0,5,Satisfactory product.,"['Satisfactory', 'product.']",Satisfactory product.,"['Satisfactory', 'product', '.']","['satisfactory', 'product', '.']","['satisfactory', 'product']","['satisfactory', 'product']","[('satisfactory', 'JJ'), ('product', 'NN')]","[('satisfactory', 'a'), ('product', 'n')]","['satisfactory', 'product']"
1,5,"Good phone, Good Colour shining perfect Look & Perfect work & Reasonable price, but it is long size, I Like It & recommend for All","['Good', 'phone,', 'Good', 'Colour', 'shining', 'perfect', 'Look', '&', 'Perfect', 'work', '&', 'Reasonable', 'price,', 'but', 'it', 'is', 'long', 'size,', 'I', 'Like', 'It', '&', 'recommend', 'for', 'All']","Good phone, Good Colour shining perfect Look & Perfect work & Reasonable price, but it is long size, I Like It & recommend for All","['Good', 'phone', ',', 'Good', 'Colour', 'shining', 'perfect', 'Look', '&', 'Perfect', 'work', '&', 'Reasonable', 'price', ',', 'but', 'it', 'is', 'long', 'size', ',', 'I', 'Like', 'It', '&', 'recommend', 'for', 'All']","['good', 'phone', ',', 'good', 'colour', 'shining', 'perfect', 'look', '&', 'perfect', 'work', '&', 'reasonable', 'price', ',', 'but', 'it', 'is', 'long', 'size', ',', 'i', 'like', 'it', '&', 'recommend', 'for', 'all']","['good', 'phone', 'good', 'colour', 'shining', 'perfect', 'look', 'perfect', 'work', 'reasonable', 'price', 'but', 'it', 'is', 'long', 'size', 'i', 'like', 'it', 'recommend', 'for', 'all']","['good', 'phone', 'good', 'colour', 'shining', 'perfect', 'look', 'perfect', 'work', 'reasonable', 'price', 'long', 'size', 'like', 'recommend']","[('good', 'JJ'), ('phone', 'NN'), ('good', 'JJ'), ('colour', 'NN'), ('shining', 'VBG'), ('perfect', 'JJ'), ('look', 'NN'), ('perfect', 'JJ'), ('work', 'NN'), ('reasonable', 'JJ'), ('price', 'NN'), ('long', 'RB'), ('size', 'NN'), ('like', 'IN'), ('recommend', 'NN')]","[('good', 'a'), ('phone', 'n'), ('good', 'a'), ('colour', 'n'), ('shining', 'v'), ('perfect', 'a'), ('look', 'n'), ('perfect', 'a'), ('work', 'n'), ('reasonable', 'a'), ('price', 'n'), ('long', 'r'), ('size', 'n'), ('like', 'n'), ('recommend', 'n')]","['good', 'phone', 'good', 'colour', 'shin', 'perfect', 'look', 'perfect', 'work', 'reasonable', 'price', 'long', 'size', 'like', 'recommend']"
2,5,Lowest price good future,"['Lowest', 'price', 'good', 'future']",Lowest price good future,"['Lowest', 'price', 'good', 'future']","['lowest', 'price', 'good', 'future']","['lowest', 'price', 'good', 'future']","['lowest', 'price', 'good', 'future']","[('lowest', 'JJS'), ('price', 'NN'), ('good', 'JJ'), ('future', 'NN')]","[('lowest', 'a'), ('price', 'n'), ('good', 'a'), ('future', 'n')]","['low', 'price', 'good', 'future']"
3,5,Best in segment and uncompetitive,"['Best', 'in', 'segment', 'and', 'uncompetitive']",Best in segment and uncompetitive,"['Best', 'in', 'segment', 'and', 'uncompetitive']","['best', 'in', 'segment', 'and', 'uncompetitive']","['best', 'in', 'segment', 'and', 'uncompetitive']","['best', 'segment', 'uncompetitive']","[('best', 'RBS'), ('segment', 'NN'), ('uncompetitive', 'JJ')]","[('best', 'r'), ('segment', 'n'), ('uncompetitive', 'a')]","['best', 'segment', 'uncompetitive']"
4,5,Lowest price good features,"['Lowest', 'price', 'good', 'features']",Lowest price good features,"['Lowest', 'price', 'good', 'features']","['lowest', 'price', 'good', 'features']","['lowest', 'price', 'good', 'features']","['lowest', 'price', 'good', 'features']","[('lowest', 'JJS'), ('price', 'NN'), ('good', 'NN'), ('features', 'NNS')]","[('lowest', 'a'), ('price', 'n'), ('good', 'n'), ('features', 'n')]","['low', 'price', 'good', 'feature']"
5,4,"Camera very good,display not best,battery for full day,performance overall OK.","['Camera', 'very', 'good,display', 'not', 'best,battery', 'for', 'full', 'day,performance', 'overall', 'OK.']","Camera very good,display not best,battery for full day,performance overall OK.","['Camera', 'very', 'good', ',', 'display', 'not', 'best', ',', 'battery', 'for', 'full', 'day', ',', 'performance', 'overall', 'OK', '.']","['camera', 'very', 'good', ',', 'display', 'not', 'best', ',', 'battery', 'for', 'full', 'day', ',', 'performance', 'overall', 'ok', '.']","['camera', 'very', 'good', 'display', 'not', 'best', 'battery', 'for', 'full', 'day', 'performance', 'overall', 'ok']","['camera', 'good', 'display', 'best', 'battery', 'full', 'day', 'performance', 'overall', 'ok']","[('camera', 'NN'), ('good', 'JJ'), ('display', 'NN'), ('best', 'JJS'), ('battery', 'NN'), ('full', 'JJ'), ('day', 'NN'), ('performance', 'NN'), ('overall', 'JJ'), ('ok', 'NN')]","[('camera', 'n'), ('good', 'a'), ('display', 'n'), ('best', 'a'), ('battery', 'n'), ('full', 'a'), ('day', 'n'), ('performance', 'n'), ('overall', 'a'), ('ok', 'n')]","['camera', 'good', 'display', 'best', 'battery', 'full', 'day', 'performance', 'overall', 'ok']"
6,4,Value for money,"['Value', 'for', 'money']",Value for money,"['Value', 'for', 'money']","['value', 'for', 'money']","['value', 'for', 'money']","['value', 'money']","[('value', 'NN'), ('money', 'NN')]","[('value', 'n'), ('money', 'n')]","['value', 'money']"
7,4,Camera low is ok chalenga ,"['Camera', 'low', 'is', 'ok', 'chalenga']",Camera low is ok chalenga,"['Camera', 'low', 'is', 'ok', 'chalenga']","['camera', 'low', 'is', 'ok', 'chalenga']","['camera', 'low', 'is', 'ok', 'chalenga']","['camera', 'low', 'ok', 'chalenga']","[('camera', 'NN'), ('low', 'JJ'), ('ok', 'NN'), ('chalenga', 'NN')]","[('camera', 'n'), ('low', 'a'), ('ok', 'n'), ('chalenga', 'n')]","['camera', 'low', 'ok', 'chalenga']"
8,5,Nice,['Nice'],Nice,['Nice'],['nice'],['nice'],['nice'],"[('nice', 'JJ')]","[('nice', 'a')]",['nice']
9,5,Superb camera,"['Superb', 'camera']",Superb camera,"['Superb', 'camera']","['superb', 'camera']","['superb', 'camera']","['superb', 'camera']","[('superb', 'NN'), ('camera', 'NN')]","[('superb', 'n'), ('camera', 'n')]","['superb', 'camera']"
10,4,Awesome mobile,"['Awesome', 'mobile']",Awesome mobile,"['Awesome', 'mobile']","['awesome', 'mobile']","['awesome', 'mobile']","['awesome', 'mobile']","[('awesome', 'RB'), ('mobile', 'NN')]","[('awesome', 'r'), ('mobile', 'n')]","['awesome', 'mobile']"
11,3,Product it is good but fingerprint sometime does not work...,"['Product', 'it', 'is', 'good', 'but', 'fingerprint', 'sometime', 'does', 'not', 'work...']",Product it is good but fingerprint sometime does not work...,"['Product', 'it', 'is', 'good', 'but', 'fingerprint', 'sometime', 'does', 'not', 'work', '...']","['product', 'it', 'is', 'good', 'but', 'fingerprint', 'sometime', 'does', 'not', 'work', '...']","['product', 'it', 'is', 'good', 'but', 'fingerprint', 'sometime', 'does', 'not', 'work', '...']","['product', 'good', 'fingerprint', 'sometime', 'work', '...']","[('product', 'NN'), ('good', 'JJ'), ('fingerprint', 'NN'), ('sometime', 'RB'), ('work', 'NN'), ('...', ':')]","[('product', 'n'), ('good', 'a'), ('fingerprint', 'n'), ('sometime', 'r'), ('work', 'n'), ('...', 'n')]","['product', 'good', 'fingerprint', 'sometime', 'work', '...']"
12,5,Go for it,"['Go', 'for', 'it']",Go for it,"['Go', 'for', 'it']","['go', 'for', 'it']","['go', 'for', 'it']",['go'],"[('go', 'VB')]","[('go', 'v')]",['go']
13,5,Best mobile... pic so beautiful,"['Best', 'mobile...', 'pic', 'so', 'beautiful']",Best mobile... pic so beautiful,"['Best', 'mobile', '...', 'pic', 'so', 'beautiful']","['best', 'mobile', '...', 'pic', 'so', 'beautiful']","['best', 'mobile', '...', 'pic', 'so', 'beautiful']","['best', 'mobile', '...', 'pic', 'beautiful']","[('best', 'JJS'), ('mobile', 'NN'), ('...', ':'), ('pic', 'NN'), ('beautiful', 'NN')]","[('best', 'a'), ('mobile', 'n'), ('...', 'n'), ('pic', 'n'), ('beautiful', 'n')]","['best', 'mobile', '...', 'pic', 'beautiful']"
14,4,Good prodect,"['Good', 'prodect']",Good prodect,"['Good', 'prodect']","['good', 'prodect']","['good', 'prodect']","['good', 'prodect']","[('good', 'JJ'), ('prodect', 'NN')]","[('good', 'a'), ('prodect', 'n')]","['good', 'prodect']"
