"Rating","Heading","Description"
"5","Wonderful","Satisfactory product."
"5","Awesome","Good phone, Good Colour shining perfect Look & Perfect work & Reasonable price, but it is long size, I Like It & recommend for All"
"5","Best in the market!","Lowest price good future"
"5","Simply awesome","Best in segment and uncompetitive"
"5","Excellent","Lowest price good features"
"4","Really Nice","Camera very good,display not best,battery for full day,performance overall OK."
"4","Value-for-money","Value for money"
"4","Delightful","Camera low is ok chalenga "
"5","Terrific purchase","Nice"
"5","Classy product","Superb camera"
"4","Really Nice","Awesome mobile"
"3","Nice","Product it is good but fingerprint sometime does not work..."
"5","Must buy!","Go for it"
"5","Simply awesome","Best mobile... pic so beautiful"
"4","Value-for-money","Good prodect"
"5","Excellent","Very good"
"5","Just wow!","Is mobile is the big size and RAM is always better and processor is very slow camera quality too good"
"2","Bad quality","Performance not good after 2 weeks mobile not working bad performance"
"4","Nice product","Good produced"
"4","Worth the money","Value for money"
"4","Really Nice","Mobile is nice"
"5","Awesome","It should be under 1000"
"5","Worth every penny","Nice"
"5","Terrific purchase","Am so happy"
"5","Highly recommended","V good phone, must if you thinking then go for it.."
"5","Worth every penny","Great phone in this range..."
"5","Just wow!","Better product"
"5","Awesome","Good... Buy it"
"4","Worth the money","Good looking"
"5","Awesome","Ok"
"4","Good quality product","Nice product"
"5","Best in the market!","Best"
"4","Really Nice","Good"
"5","Great product","Vary nice"
"5","Simply awesome","Nice take a look"
"5","Highly recommended","Awesome Phone Infinix Note 7"
"5","Awesome","Good smart phone at this price."
"5","Fabulous!","Good smartphone"
"5","Best in the market!","Best mobile in.this range"
"3","Fair","Nice"
"5","Super!","Nice mobile"
"5","Worth every penny","Good product"
"4","Wonderful","This phone not give real Note effect"
"5","Terrific purchase","Suno mobile in this price"
"4","Very Good","not bad"
"3","Nice","Some time it's back switch not working.. heating problem and battery backup not like 5000mh.."
"5","Worth every penny","Infinix note7 is a Budget smartphone, all over good experience not bad in this range 9900 INR. This review buying after one month."
"5","Simply awesome","Good very oll 5 star"
"5","Brilliant","Very very nice Excellent mobile tq flpcart"
"5","Terrific purchase","Fantastic mobile for all the aspects.performance is best.simply fine ."
"4","Value-for-money","Nice 👌 bought phone but display is vary big"
"2","Bad quality","Infinix note 7"
"4","Very Good","Not bad superb phone this price 👌"
"5","Awesome","Nice mobile by now"
"2","Could be way better","Fingerprint sensor any other fingers lock on so security is zero"
"3","Just okay","Phone performance is good "
"2","Bad quality","I'm infinix user... this is third mobile of infinix. First time I feel unsatisfied with this mobile. I'm writing this review after using 1 week."
"5","Fabulous!","Best phone"
"3","Does the job","Camera design is very large"
"5","Must buy!","Awesome phone"
"5","Perfect product!","nice"
"2","Slightly disappointed","Suppereb mobile"
"1","Waste of money!","Heating issues and battery drains fast 100 to 0 in 4hrs53mins"
"5","Excellent","Nice Product"
"5","Awesome","Nice"
"5","Brilliant","This mbl is too good.battery capacity is awesome.it lasts so long nd quick charging.camera is also good.overall worth the money."
"5","Best in the market!","very nice"
"5","Super!","Excellent phone."
"5","Just wow!","good product"
"1","Horrible","Dont buy this phone friends worst phone in my life "
"5","Super!","Thanks Flipkart for best product"
"5","Worth every penny","Very good"
"5","Excellent","Good"
"5","Wonderful","Good Product"
"3","Fair","Budget phone"
"5","Mind-blowing purchase","Super"
"5","Simply awesome","Amazing product in this price range..and decent camera and battery backup.. performance is just awesome with g70 chipset... fingerprint sensor is fast enough and dual speaker output is the most valuable thing in this mobile...sure you can consider this mobile in this price range 😍"
"5","Simply awesome","Wonderful smartphone"
"5","Terrific purchase","Very good product"
"4","Wonderful","Mobile size is very big"
"4","Good quality product","Its really excellent"
"5","Must buy!","Good in price"
"5","Fabulous!","Osm phone 👍🏻"
"5","Highly recommended","Good"
"5","Brilliant","nice phone under this price range😊"
"5","Awesome","Best Product and delivery service was superb"
"5","Fabulous!","Super"
"5","Wonderful","nice"
"5","Excellent","Excellent  mobile"
"4","Pretty good","Value for money."
"4","Good quality product","Good mobile"
"4","Really Nice","Good. Very very good. Thank you Flipkart."
"1","Don't waste your money","Waste mobile evar "
"5","Terrific","It is not handy mobile large in size."
"5","Just wow!","Phone is good at this price range"
"4","Pretty good","Value for money mobile..... Look is good"
"5","Excellent","Awesome and value of money."
"4","Value-for-money","Good phone"
"5","Highly recommended","Good Phone it's worth in this price"
"5","Awesome","This is my second phone in infinix beter in all mobile"
"2","Slightly disappointed","Sound quality very bed"
"5","Simply awesome","Superb mobile..better than realme..oppo."
"5","Just wow!","Nice"
"5","Worth every penny","Worth for this amount"
"5","Awesome","delivery boy is so gud"
"5","Wonderful","Nice phone but camera quality is not sure for money"
